CoC Number Pre-Merger,CoC Number Post Merger,Merger Year,,
AR-502,AR-503,2010,,
AR-504,AR-503,2020,,
AR-506,AR-503,2010,,
AR-507,AR-503,2012,,
AR-509,AR-503,2010,,
AR-510,AR-503,2010,,
AR-511,AR-503,2010,,
AR-512,AR-503,2018,,
CA-527a,CA-515,2010,,
CA-605,CA-611,2013,,
CA-610,CA-601,2011,,
CT-500,CT-505,2011,,
CT-501,CT-505,2013,,
CT-502,CT-505,2016,,
CT-504,CT-505,2010,,
CT-506,CT-503,2015,,
CT-507,CT-505,2010,,
CT-508,CT-503,2015,,
CT-509,CT-505,2011,,
CT-510,CT-505,2011,,
CT-511,CT-505,2007 or earlier,,
CT-512,CT-505,2015,,
FL-516,FL-503,2015,,
IL-505,IL-511,2011,,
IL-509,IL-501,2019,,
IN-500,IN-502,2017,,
IN-501,IN-502,2007 or earlier,,
KS-500,KS-507,2008,,
LA-504,LA-509,2017,,
LA-508,LA-509,2018,,
MA-508,MA-516,2020,,
MA-512,MA-516,2013,,
MA-513,MA-516,2015,,
MA-517,MA-516,2020,,
MA-518,MA-516,2017,,
MA-520,MA-511,2015,,
ME-501,ME-500,2012,,
ME-502,ME-500,2017,,
MI-513,MI-500,2020,,
MI-520,MI-500,2002,,
MI-521,MI-500,2008,,
MI-522,MI-500,2010,,
MI-524,MI-500,2008,,
MN-507,MN-503,2008,,
MN-510,MN-503,2011,,
MN-512,MN-510,2008,,
MO-601,MO-606,2008,,
MO-605,MO-606,2007 or earlier,,
NC-508,NC-503,2009,,
NC-512,NC-503,2007 or earlier,,
NC-514,NC-503,2007 or earlier,,
NC-515,NC-503,2007 or earlier,,
NC-517,NC-503,2007 or earlier,,
NC-518,NC-503,2007 or earlier,,
NC-519,NC-503,2007 or earlier,,
NC-520,NC-503,2007 or earlier,,
NC-521,NC-503,2007 or earlier,,
NC-522,NC-503,2007 or earlier,,
NC-523,NC-503,2007 or earlier,,
NC-524,NC-503,2007 or earlier,,
NC-525,NC-503,2007 or earlier,,
NC-526,NC-503,2007 or earlier,,
NE-503,NE-500,2011,,
NE-504,NE-500,2011,,
NE-505,NE-500,2011,,
NE-506,NE-500,2011,,
NJ-505,NJ-503,2013,,
NJ-517,NJ-516,2008,,
NJ-518,NJ-503,2015,,
NJ-519,NJ-516,2011,,
NJ-520,NJ-503,2013,,
NY-502,NY-505,2016,,
NY-504,NY-525,2020,,
NY-506,NY-525,2019,,
NY-509,NY-505,2015,,
NY-515,NY-511,2008,,
NY-516,NY-525,2020,,
NY-517,NY-508,2015,,
NY-521,NY-518,2008,,
NY-524,NY-508,2013,,
NY-605,NY-603,2012,,
NY-607,NY-525,2020,,
PA-507,PA-509,2015,,
PA-602,PA-601,2015,,
PR-501,PR-502,2007 or earlier,,
PR-504,PR-503,2007 or earlier,,
PR-510,PR-503,2007 or earlier,,
SC-504,SC-503,2010,,
TN-505,TN-503,2006,,
TX-501,TX-607,2013,,
TX-504,TX-607,2013,,
TX-602,TX-700,2007 or earlier,,
TX-608,TX-701,2007 or earlier,,
TX-610,TX-607,2012,,
TX-612,TX-702,2007 or earlier,,
TX-613,TX-607,2010,,
TX-616,TX-703,2007 or earlier,,
TX-623,TX-704,2007 or earlier,,
TX-702,TX-607,2012,,
TX-703,TX-607,2015,,
TX-704,TX-607,2011,,
VA-509,VA-521,2013,,
VA-510,VA-521,2013,,
VA-512,VA-501,2011,,
VA-517,VA-521,2013,,
VA-518,VA-513,2012,,
VA-519,VA-501,2011,,
WA-506,WA-502,2008,,
WA-507,WA-501,2018,,
,,,,
"a This is the original CA-527, the CoC representing Nevada County, CA. This CoC has no relation to the new CA-527 representing Tehama County, CA.",,,,
