RowID,State,CoC Name,CoC ID,HUD CoC Number,Year,Organization Name,Program Name,Program Type,Bed Type,Geo Code,Inventory Type,Target Population A,Target Population B,Mc Kinney-Vento,Beds for Households With Children,Units for Households With Children,Beds for Households Without Children,Beds for Households With Only Children,Total Year Round Beds,Chronically Homeless Beds,HMIS Beds for Households With Children,HMIS Beds for Households Without Children,HMIS Beds for Households With Only Children,Domestic Violence Beds,Total Seasonal Beds,Seasonal Beds Available in HMIS,Availability Start Date,Availability End Date,Overflow and Voucher Beds,HMIS Overflow and Voucher Beds,PIT Count,Total Beds
110441,AK,Alaska Balance of State CoC,1105,AK-501,2012,Adocates f/Victims of Violnc,DV Shelter,ES,F,029261,C,SFHC,DV,FALSE,5,2,2,,7,,,,,7,0,0,,,0,,0,7
110504,AK,Alaska Balance of State CoC,1105,AK-501,2012,AHFC - Public Housing Div,VASH-Fairbanks,PSH,,029090,N,SMF+HC,VET,FALSE,25,10,27,0,52,0,0,0,0,,,,,,,,52,52
110442,AK,Alaska Balance of State CoC,1105,AK-501,2012,AK Family Services,DV Shelter,ES,F,029170,C,SFHC,DV,FALSE,26,8,6,,32,,,,,32,0,0,,,0,,5,32
110443,AK,Alaska Balance of State CoC,1105,AK-501,2012,AK Family Services,Saxton Shelter,ES,F,029170,C,SMF,NA,FALSE,,,2,10,12,,,0,0,,0,0,,,0,,9,12
110444,AK,Alaska Balance of State CoC,1105,AK-501,2012,Arctic Women in Crisis,DV Shelter,ES,F,029185,C,SFHC,DV,FALSE,8,2,3,,11,,,,,11,0,0,,,0,,4,11
110445,AK,Alaska Balance of State CoC,1105,AK-501,2012,AWARE,DV Shelter,ES,F,029110,C,SFHC,DV,FALSE,24,8,8,,32,,,,,32,0,0,,,0,,15,32
110446,AK,Alaska Balance of State CoC,1105,AK-501,2012,BeringSea Women's Svcs,DV Shelter,ES,F,029180,C,SFHC,DV,FALSE,9,3,3,,12,,,,,12,0,0,,,0,,0,12
110447,AK,Alaska Balance of State CoC,1105,AK-501,2012,Brother Francis Shltr-Kodiak,Brother Francis Shltr,ES,F,029150,C,SMF,NA,FALSE,,,30,,30,,,30,,,0,0,,,2,2,32,32
110477,AK,Alaska Balance of State CoC,1105,AK-501,2012,Fairbanks Rescue Mission,Genesis Recovery TH,TH,F,029090,C,SMF+HC,NA,FALSE,3,1,18,,21,,3,18,,,,,,,,,13,21
110478,AK,Alaska Balance of State CoC,1105,AK-501,2012,Fairbanks Rescue Mission,GPD - FAITH Vet Program,TH,F,029090,C,SMF,VET,FALSE,3,1,27,0,30,,3,27,0,,,,,,,,19,30
110505,AK,Alaska Balance of State CoC,1105,AK-501,2012,Fairbanks Rescue Mission,Green Collar TH,TH,F,029090,C,SMF,,FALSE,3,1,7,0,10,,3,7,0,,,,,,,,4,10
110448,AK,Alaska Balance of State CoC,1105,AK-501,2012,Fairbanks Rescue Mission,Shelter,ES,F,029090,C,SMF+HC,NA,FALSE,14,4,98,,112,,10,98,,,0,0,,,0,0,112,112
110449,AK,Alaska Balance of State CoC,1105,AK-501,2012,Family Promise,Church Shelter,ES,O,029170,C,HC,NA,FALSE,15,5,,,15,,15,,,,0,0,,,0,,3,15
110465,AK,Alaska Balance of State CoC,1105,AK-501,2012,Friendship Mission,Shelter,ES,F,029122,C,SM,NA,FALSE,,,8,,8,,,0,,,0,0,,,0,,6,8
110466,AK,Alaska Balance of State CoC,1105,AK-501,2012,Gastineau Human Services,Juno House,TH,F,029110,C,SMF,NA,FALSE,,,26,,26,,,26,,,,,,,,,23,26
110496,AK,Alaska Balance of State CoC,1105,AK-501,2012,Interior Ctr for Non-Violent Lvg,Burch House,PSH,,029090,C,SMF+HC,DV,TRUE,3,1,2,,5,1,,,,5,,,,,,,5,5
110502,AK,Alaska Balance of State CoC,1105,AK-501,2012,Interior Ctr for Non-Violent Lvg,Burch House II,PSH,,029090,C,SFHC,NA,FALSE,4,2,1,,5,0,0,,,,,,,,,,4,5
110468,AK,Alaska Balance of State CoC,1105,AK-501,2012,Interior Ctr for Non-Violent Lvg,Carmen House,TH,F,029090,C,SFHC,DV,TRUE,15,5,1,,16,,,,,16,,,,,,,15,16
110499,AK,Alaska Balance of State CoC,1105,AK-501,2012,Interior Ctr for Non-Violent Lvg,Carmen/Non-SHP,TH,F,029090,C,SF,DV,FALSE,,,1,,1,,,,,1,,,,,,,1,1
110450,AK,Alaska Balance of State CoC,1105,AK-501,2012,Interior Ctr for Non-Violent Lvg,DV Shelter,ES,F,029090,C,SFHC,DV,FALSE,30,10,16,,46,,,,,46,0,0,,,0,,45,46
110467,AK,Alaska Balance of State CoC,1105,AK-501,2012,Interior Ctr for Non-Violent Lvg,Phase I Transitional,TH,F,029090,C,SFHC,DV,FALSE,12,4,5,,17,,,,,17,,,,,,,16,17
110451,AK,Alaska Balance of State CoC,1105,AK-501,2012,Jun. Coop. Christian Ministry,Glory Hole Shelter,ES,F,029110,C,SMF,NA,FALSE,,,40,,40,,,40,,,0,0,,,0,0,33,40
110494,AK,Alaska Balance of State CoC,1105,AK-501,2012,Juneau Alliance f/Mental Hlth Inc,Salmon Creek K-2,TH,F,029110,N,SMF,NA,FALSE,,,2,,2,,,0,,,,,,,,,1,2
110493,AK,Alaska Balance of State CoC,1105,AK-501,2012,Juneau Alliance f/Mental Hlth Inc,Supported Housing K-1,TH,F,029110,C,SMF,NA,FALSE,,,2,,2,,,0,,,,,,,,,1,2
110469,AK,Alaska Balance of State CoC,1105,AK-501,2012,Juneau Youth Services,Black Bear TLP,TH,F,029110,C,SMF,NA,FALSE,,,13,,13,,,0,,,,,,,,,6,13
110452,AK,Alaska Balance of State CoC,1105,AK-501,2012,Juneau Youth Services,Cornerstone Shelter,ES,F,029110,C,SMF,NA,FALSE,,,5,5,10,,,,,,0,0,,,,,7,10
110501,AK,Alaska Balance of State CoC,1105,AK-501,2012,Juneau Youth Services,Cornerstone TLP,TH,F,029110,N,SMF,NA,FALSE,,,,4,4,,,,0,,,,,,,,3,4
110497,AK,Alaska Balance of State CoC,1105,AK-501,2012,Kenai Peninsula Housing Initiatives,Crest View,PSH,,029122,C,SMF,NA,FALSE,,,8,,8,1,,8,,,,,,,,,7,8
110492,AK,Alaska Balance of State CoC,1105,AK-501,2012,Kenai Peninsula Housing Initiatives,Watt's Homestead,PSH,,029122,C,SMF,NA,FALSE,,,6,,6,3,,6,,,,,,,,,6,6
110470,AK,Alaska Balance of State CoC,1105,AK-501,2012,Ketchikan Com. f/Homeless,Park Avenue T-Home,ES,F,029130,C,SMF+HC,NA,FALSE,6,2,20,,26,,0,0,,,,,,,,,7,26
110453,AK,Alaska Balance of State CoC,1105,AK-501,2012,Kodiak Women's Rerc Ctr,DV Shelter,ES,F,029150,C,SFHC,DV,FALSE,9,3,1,,10,,,,,10,0,0,,,0,,0,10
110454,AK,Alaska Balance of State CoC,1105,AK-501,2012,Lee Shore Center,DV Shelter,ES,F,029122,C,SFHC,DV,FALSE,27,9,5,,32,,,,,32,0,0,,,0,,7,32
110471,AK,Alaska Balance of State CoC,1105,AK-501,2012,Lee Shore Center,TLC Program,TH,F,029122,C,SFHC,DV,TRUE,14,5,11,,25,,,,,25,,,,,,,11,25
110495,AK,Alaska Balance of State CoC,1105,AK-501,2012,Love INC - Kenai Peninsula,Family Hope Center,ES,F,029122,C,SMF+HC,NA,FALSE,50,20,20,,70,,50,20,,,,,,,,,53,70
110455,AK,Alaska Balance of State CoC,1105,AK-501,2012,Maniilaq Association,DV Shelter,ES,F,029188,C,SFHC,DV,FALSE,4,2,2,,6,,,,,6,0,0,,,0,,0,6
110498,AK,Alaska Balance of State CoC,1105,AK-501,2012,Nome Emergency Shelter Team,NEST-Shelter,ES,O,029180,C,SMF,NA,FALSE,,,0,,0,,,,,,19,0,10/1/11 0:00,4/1/12 0:00,0,0,13,19
110503,AK,Alaska Balance of State CoC,1105,AK-501,2012,Polaris House,Polaris Annex,TH,F,029110,N,SMF,,FALSE,,,4,,4,,,0,,,,,,,,,4,4
110464,AK,Alaska Balance of State CoC,1105,AK-501,2012,Presbytrn Hspitalty House,7th Street Home,ES,F,029090,C,YMF,NA,FALSE,0,0,,7,7,,0,,0,,0,0,,,0,0,5,7
110463,AK,Alaska Balance of State CoC,1105,AK-501,2012,Presbytrn Hspitalty House,Emergency Stablization Ctr,ES,F,029090,C,YMF,NA,FALSE,0,0,,5,5,,0,,,,0,0,,,0,0,5,5
110480,AK,Alaska Balance of State CoC,1105,AK-501,2012,Presbytrn Hspitalty House,Independent Living Prog,TH,F,029090,C,SMF,NA,FALSE,,,15,1,16,,,0,0,,,,,,,,16,16
110456,AK,Alaska Balance of State CoC,1105,AK-501,2012,S.A.F.E.,DV Shelter,ES,F,029070,C,SFHC,DV,FALSE,15,5,1,,16,,,,,16,0,0,,,0,0,16,16
110472,AK,Alaska Balance of State CoC,1105,AK-501,2012,Salvation Army-Kodiak Corps,Beachcomber,TH,F,029150,C,SMF,NA,FALSE,5,1,9,0,14,,0,0,0,,,,,,,,9,14
110479,AK,Alaska Balance of State CoC,1105,AK-501,2012,Sitka Prev&Couns. Svcs,Jericho Road,PSH,,029220,C,SM,NA,FALSE,,,4,,4,4,,0,,,,,,,,,4,4
110457,AK,Alaska Balance of State CoC,1105,AK-501,2012,Sitkans Agnst Famly Violence,DV Shelter,ES,F,029220,C,SFHC,DV,FALSE,13,5,3,,16,,,,,16,0,0,,,0,0,11,16
110458,AK,Alaska Balance of State CoC,1105,AK-501,2012,So. Peninsula Women's Svcs,Haven House,ES,F,029122,C,SFHC,DV,FALSE,6,3,4,,10,,,,,10,0,0,,,0,,7,10
110484,AK,Alaska Balance of State CoC,1105,AK-501,2012,St. Vincent dePaul,Channel View S+C,PSH,,029110,C,SMF+HC,NA,TRUE,5,2,2,0,7,0,5,2,0,,,,,,,,7,7
110473,AK,Alaska Balance of State CoC,1105,AK-501,2012,St. Vincent dePaul,Family TLC,TH,F,029110,C,SMF+HC,NA,FALSE,39,10,0,0,39,,39,0,0,,,,,,,,30,39
110474,AK,Alaska Balance of State CoC,1105,AK-501,2012,St. Vincent dePaul,Paradis-Transitional,TH,F,029110,C,SMF,NA,FALSE,0,0,12,0,12,,0,12,0,,,,,,,,12,12
110482,AK,Alaska Balance of State CoC,1105,AK-501,2012,St. Vincent dePaul,Paul's Place Chr PSH,PSH,,029110,C,SMF,NA,TRUE,,,3,,3,3,,3,,,,,,,,,3,3
110481,AK,Alaska Balance of State CoC,1105,AK-501,2012,St. Vincent dePaul,Paul's Place PSH,PSH,,029110,C,SMF+HC,NA,FALSE,7,2,8,,15,1,7,8,,,,,,,,,15,15
110483,AK,Alaska Balance of State CoC,1105,AK-501,2012,St. Vincent dePaul,Paul's Place S+C,PSH,,029110,C,SMF,NA,TRUE,,,4,,4,1,,4,,,,,,,,,4,4
110485,AK,Alaska Balance of State CoC,1105,AK-501,2012,St. Vincent dePaul,Scattered Site S+C,PSH,,029110,C,SMF,NA,TRUE,,,2,,2,2,,2,,,,,,,,,2,2
